,board,first_player,move_history,winner,1,2,3,4,5,6,7,8,9
62,"[[1, -1, 1], [0, 0, 0], [-1, -1, 1]]",1,"[9, -7, 3, -6, 5, -5, 0, 0, 0]",0,9,-7,3,-6,5,-5,0,0,0
63,"[[1, 0, 0], [0, 1, -1], [0, 1, 1]]",0,"[-4, 9, -5, 3, -5, 8, -7, 6, 0]",1,-4,9,-5,3,-5,8,-7,6,0
64,"[[0, -1, -1], [0, -1, 0], [1, 1, 1]]",0,"[-5, 8, -7, 7, -3, 9, 0, 0, 0]",1,-5,8,-7,7,-3,9,0,0,0
65,"[[0, 0, 1], [-1, 1, 1], [1, 0, 0]]",0,"[-8, 6, -3, 7, -4, 7, -9, 5, 0]",1,-8,6,-3,7,-4,7,-9,5,0
66,"[[1, 0, 1], [1, 0, 0], [1, -1, 0]]",0,"[-6, 7, -4, 5, -7, 3, -9, 5, 0]",1,-6,7,-4,5,-7,3,-9,5,0
67,"[[-1, -1, 0], [1, 1, 1], [-1, 0, 0]]",0,"[-9, 6, -8, 5, -5, 7, 0, 0, 0]",1,-9,6,-8,5,-5,7,0,0,0
68,"[[1, 1, 1], [1, 0, 0], [1, 0, 0]]",1,"[7, -6, 5, -8, 5, -9, 4, -7, 3]",1,7,-6,5,-8,5,-9,4,-7,3
69,"[[0, 0, 0], [1, -1, -1], [-1, 1, -1]]",0,"[-5, 5, -4, 8, -3, 0, 0, 0, 0]",0,-5,5,-4,8,-3,0,0,0,0
70,"[[0, -1, 1], [0, -1, 1], [-1, -1, 1]]",1,"[5, -5, 9, -3, 7, 0, 0, 0, 0]",1,5,-5,9,-3,7,0,0,0,0
71,"[[0, 1, 0], [1, 0, 0], [1, 1, 1]]",1,"[4, -7, 9, -5, 5, -3, 7, -6, 8]",1,4,-7,9,-5,5,-3,7,-6,8
72,"[[-1, 1, 0], [-1, 0, -1], [0, 1, 1]]",1,"[8, -5, 9, -7, 4, -6, 0, 0, 0]",0,8,-5,9,-7,4,-6,0,0,0
73,"[[1, 0, 1], [0, 1, 1], [0, 0, 1]]",1,"[6, -8, 5, -7, 7, -4, 3, -5, 9]",1,6,-8,5,-7,7,-4,3,-5,9
74,"[[1, 1, 0], [1, 0, 1], [0, -1, 0]]",1,"[3, -9, 5, -6, 7, -5, 4, -7, 0]",0,3,-9,5,-6,7,-5,4,-7,0
75,"[[1, 1, 0], [1, 0, 1], [0, 0, 0]]",0,"[-8, 3, -5, 7, -9, 4, -6, 5, -7]",0,-8,3,-5,7,-9,4,-6,5,-7
76,"[[0, 1, 0], [1, -1, 0], [1, 1, 0]]",1,"[7, -3, 8, -9, 5, -7, 4, -5, 0]",0,7,-3,8,-9,5,-7,4,-5,0
77,"[[-1, -1, 1], [0, 0, 0], [-1, -1, 1]]",0,"[-7, 9, -6, 5, -5, 0, 0, 0, 0]",0,-7,9,-6,5,-5,0,0,0,0
78,"[[-1, -1, 1], [0, -1, 1], [-1, 0, 1]]",1,"[5, -5, 7, -8, 9, 0, 0, 0, 0]",1,5,-5,7,-8,9,0,0,0,0
79,"[[1, 1, 0], [0, 0, 1], [1, 0, 1]]",1,"[7, -5, 4, -6, 3, -5, 9, -8, 7]",-1,7,-5,4,-6,3,-5,9,-8,7
80,"[[0, 1, -1], [1, 0, 1], [1, 0, 0]]",1,"[4, -8, 7, -9, 5, -3, 7, -6, 0]",0,4,-8,7,-9,5,-3,7,-6,0
81,"[[1, 1, 0], [0, 0, 1], [1, 0, 0]]",0,"[-9, 3, -6, 7, -5, 7, -5, 4, -8]",-1,-9,3,-6,7,-5,7,-5,4,-8
82,"[[1, 1, -1], [-1, 1, 0], [0, 1, 0]]",1,"[4, -7, 8, -9, 3, -7, 6, 0, 0]",1,4,-7,8,-9,3,-7,6,0,0
83,"[[0, -1, 1], [0, 1, -1], [1, 0, 1]]",1,"[9, -8, 7, -5, 6, -3, 5, 0, 0]",1,9,-8,7,-5,6,-3,5,0,0
84,"[[-1, 0, 0], [1, 0, 1], [1, 0, 1]]",1,"[7, -5, 5, -6, 7, -8, 9, -4, 0]",0,7,-5,5,-6,7,-8,9,-4,0
85,"[[1, -1, 0], [0, 0, 0], [1, -1, 1]]",0,"[-5, 7, -6, 3, -5, 9, -7, 0, 0]",0,-5,7,-6,3,-5,9,-7,0,0
86,"[[1, 1, -1], [1, 1, 0], [0, 0, 0]]",1,"[4, -7, 6, -9, 5, -7, 3, -8, 0]",0,4,-7,6,-9,5,-7,3,-8,0
87,"[[0, 0, 1], [1, 0, 0], [1, 0, 1]]",0,"[-3, 5, -4, 9, -6, 7, -7, 5, -8]",0,-3,5,-4,9,-6,7,-7,5,-8
88,"[[1, 0, 0], [-1, 1, 1], [0, 0, 1]]",0,"[-4, 6, -8, 7, -7, 3, -5, 9, 0]",1,-4,6,-8,7,-7,3,-5,9,0
89,"[[1, 0, 1], [0, 1, 0], [0, 1, 0]]",0,"[-7, 3, -7, 6, -5, 5, -9, 8, -4]",-1,-7,3,-7,6,-5,5,-9,8,-4
90,"[[0, 1, 0], [0, 0, 1], [1, 0, 1]]",0,"[-8, 4, -5, 7, -6, 9, -5, 7, -3]",-1,-8,4,-5,7,-6,9,-5,7,-3
91,"[[0, 0, 1], [-1, 0, -1], [1, 0, 1]]",0,"[-3, 5, -8, 7, -6, 9, -4, 0, 0]",0,-3,5,-8,7,-6,9,-4,0,0
92,"[[1, 1, 1], [1, -1, 0], [0, 0, -1]]",1,"[5, -7, 4, -8, 5, -7, 3, 0, 0]",1,5,-7,4,-8,5,-7,3,0,0
93,"[[0, 0, 0], [1, 1, -1], [0, 1, -1]]",0,"[-5, 6, -3, 5, -7, 8, -4, 0, 0]",0,-5,6,-3,5,-7,8,-4,0,0
94,"[[1, 0, 0], [-1, 1, 0], [-1, 1, 1]]",1,"[9, -7, 8, -4, 6, -5, 3, 0, 0]",1,9,-7,8,-4,6,-5,3,0,0
95,"[[-1, 1, 0], [0, 0, -1], [1, 1, 1]]",1,"[7, -5, 4, -6, 8, -5, 9, 0, 0]",1,7,-5,4,-6,8,-5,9,0,0
96,"[[-1, 0, 0], [1, 0, 0], [1, 1, 1]]",0,"[-7, 5, -4, 9, -5, 8, -6, 7, 0]",1,-7,5,-4,9,-5,8,-6,7,0
97,"[[1, 0, 1], [0, 1, 1], [1, 0, 0]]",1,"[5, -5, 3, -4, 7, -8, 6, -9, 7]",1,5,-5,3,-4,7,-8,6,-9,7
